연도,소계,삼성,KIA,롯데,LG,두산,한화,SSG,키움,NC,KT,현대,쌍방울
2023,8100326,845775,717025,891745,1202637,969562,566785,1068211,583629,557607,697350,0,0
2022,6076074,674452,604394,631656,930163,644614,358190,981546,349773,369018,532268,0,0
2021,1228489,278222,104989,138294,116691,98036,103960,118412,67407,128289,74189,0,0
2020,328317,27819,21198,36717,41317,55047,19962,30608,27158,45992,22499,0,0
2019,7286008,691681,692163,679208,1000400,983474,555225,982962,453886,710274,536735,0,0
2018,8073742,752310,861729,901634,1108677,1112066,734110,1037211,454574,442872,668559,0,0
2017,8400688,704857,1024830,1038492,1134846,1094829,593251,892541,699380,531121,686541,0,0
2016,8339577,851417,773499,852639,1157646,1165020,660472,865194,782121,549125,682444,0,0
2015,7360530,524971,710141,800962,1053405,1120381,657385,814349,510802,522669,645465,0,0
2014,6509915,505045,663430,830820,1167400,1128298,475126,829822,442941,467033,0,0,0
2013,6441945,451483,470526,770731,1289297,1152615,386893,912042,479619,528739,0,0,0
2012,7156157,544859,502016,1368995,1259480,1291703,519794,1069929,599381,0,0,0,0
2011,6810028,508645,592653,1358322,1191715,1253735,464871,998660,441427,0,0,0,0
2010,5928626,455246,436285,1175665,1010078,1070673,397297,983886,399496,0,0,0,0
2009,5925285,387389,582005,1380018,975333,1053966,375589,841270,329715,0,0,0,0
2008,5256332,387231,367794,1379735,806662,929600,372986,754247,258077,0,0,0,0
2007,4104429,336936,207232,759513,901172,786054,322537,656426,0,0,0,134559,0
2006,3040254,247787,204148,441133,718635,726359,244664,331143,0,0,0,126385,0
2005,3387843,360386,166197,652475,754888,616679,218333,458121,0,0,0,160764,0
2004,2331978,195872,155881,307537,620865,456726,128387,337674,0,0,0,129036,0
2003,2722801,356712,266111,150722,746858,425782,162735,438966,0,0,0,174915,0
2002,2394570,247698,231955,127995,637878,469080,158650,402732,0,0,0,118582,0
2001,2991064,418612,284486,400573,707144,620094,233374,178645,0,0,0,148136,0
2000,2507549,403414,69203,451095,705115,510862,155284,84563,0,0,0,128013,0
1999,3220624,551349,172729,770260,726062,497409,218404,0,0,0,0,234455,49956
1998,2639119,462777,156793,409735,577463,427227,208880,0,0,0,0,310766,85478
1997,3902966,542957,393137,461196,1001680,737392,226982,0,0,0,0,323123,216499
1996,4498082,474663,468922,787889,964805,690258,369717,0,0,0,0,475910,265918
1995,5406374,623970,431302,1180576,1264762,914638,359611,0,0,0,0,441957,189558
1994,4194428,518504,388818,630883,1022324,700914,316273,0,0,0,0,476277,140435
1993,4437149,539102,443841,843451,1154308,700869,297999,0,0,0,0,304673,152906
1992,3912092,315708,390871,1209632,615960,504100,380391,0,0,0,0,336967,158463
1991,3825409,357852,372386,1001920,776953,436026,377017,0,0,0,0,342593,160662
1990,3189488,436610,361074,654950,768329,386968,309357,0,0,0,0,272200,0
1989,2883669,394893,326607,584781,427678,431352,298860,0,0,0,0,419498,0
1988,1932145,177774,210959,648661,239562,275061,211402,0,0,0,0,168726,0
1987,2019675,261137,217616,583601,383408,272217,148301,0,0,0,0,153395,0
1986,2141112,274050,307814,523082,367690,293357,198577,0,0,0,0,176542,0
1985,1688365,347286,301188,377971,245209,252731,0,0,0,0,0,163980,0
1984,1664720,330205,196278,429070,406835,137385,0,0,0,0,0,164947,0
1983,2256121,332942,377964,397429,630814,184536,0,0,0,0,0,332436,0
1982,1438768,330467,261182,264295,298051,163822,0,0,0,0,0,120951,0
